,tweet
364,Cops Hacked Thousands of Phones. Was It Legal?  
365,Microsoft: Windows Server 2012 reaches end of support in October  
366,Serious Security: Vital cybersecurity lessons from the holiday season  
367,Car companies massively exposed to web vulnerabilities  
368,European regulators fine Meta over $400 million for targeted ad program  
369,Meta to fight €390 million fine for breaching EU data privacy laws  
370,Tell us what you think: The Daily Swig reader survey 2023  
371,New Phishing Campaign Impersonates Flipper Zero to Target Cyber Professionals  
372,New shc Linux Malware used to deploy CoinMiner  
373,NHS is Most Scammed UK Government Brand  
374,US. rail and locomotive company Wabtec hit with Lockbit ransomware  
375,New shc-based Linux Malware Targeting Systems with Cryptocurrency Miner  
376,Synology Releases Patch for Critical RCE Vulnerability Affecting VPN Plus Servers  
377,LockBit: Sorry about the SickKids ransomware, not sorry about the rest  
378,Key Bitcoin developer calls on FBI to recover $3.6M in digital coin  
379,Windows 7 and Windows 8 will stop getting critical security updates in one week  
380,Okta breached last month, no customers compromised  
381,LastPass updates security notice with information about a recent incident  
382,Why does technology no longer excite us? Lock and Code S04E01  
383,A week in security (December 19 - 25)  
384,Ongoing Flipper Zero phishing attacks target infosec community  
385,Synology fixes multiple critical vulnerabilities in its routers  
386,Over 60,000 Exchange servers vulnerable to ProxyNotShell attacks  
387,'Multiple security breaches' shut down Canadian trucker protest repeat  
388,Rail giant Wabtec discloses data breach after Lockbit ransomware attack  
389,Poland warns of attacks by Russia-linked Ghostwriter hacking group  
390,BitRAT malware campaign uses stolen bank data for phishing  
391,Hacking the metaverse: Why Meta wants you to find the flaws in its newest headsets  
392,Airbus: aerospace giant should beware geeks bearing gifts  
393,Can these researchers help defend satellite systems targeted by hackers?  
0,Cisco has issued a warning about two vulnerabilities affecting EoL Small Business routers that will not be fixed.  Read:  
1,⚡ New — #DevOps platform #CircleCI recently fell victim to a breach after an employee's laptop was hacked.  Read:  
2,If you use Cacti for web-based monitoring, be sure to patch ASAP!  A critical #vulnerability [CVE-2022-46169] is being actively exploited in the wild and a majority of internet-exposed servers have not been patched yet.  Read:  
3,Beware of tainted VPN installers! They're being used to deliver a surveillanceware called EyeSpy as part of a #malware campaign.  Read details:  
4,The French data protection watchdog has fined #TikTok €5 million for failing to comply with cookie consent regulations.  Read:  
5,Cisco has issued a warning about two vulnerabilities affecting EoL Small Business routers that will not be fixed.  Read:  
6,⏰ WEBINAR: When to Use Agent-Based vs. Agentless Workload Security.  Join @tsupasat &amp; @sirjackery of @Uptycs for 30 mins January 24, 10AM PST. Dive into the benefits of #agentless scanning #cloud workload protection.  Register:  
7,Beware of tainted VPN installers! They're being used to deliver a surveillanceware called EyeSpy as part of a #malware campaign.  Read details:  
8,Cybercriminals are now using polyglot and malicious JAR files to evade detection and spread Trojans like StrRAT and Ratty.  Read:  
9,Get lifetime access to 9 online #cybersecurity and #hacking training courses for only $49.99 with the 2023 Certified Technology Professional Bundle!   
10,A #vulnerability (CVE-2022-42475) in FortiOS SSL-VPN was exploited by hackers as a zero-day to attack governments and large organizations before #Fortinet fixed it.  Details:  
11,Don't wait until it's too late to protect your business.  Get comprehensive agentless and runtime cloud security coverage for all of 2023 for just $1 with Unified CNAPP and XDR.  Details:  
12,Malware-as-a-Service (MaaS) is changing the game for cybercriminals.  Learn more about this growing threat:  
13,Cybercriminals are now using polyglot and malicious JAR files to evade detection and spread Trojans like StrRAT and Ratty.  Read:  
14,Beware of #IcedID malware - it's using attack techniques borrowed from other hackers to quickly compromise Active Directory domains.  Read:  
15,A #vulnerability (CVE-2022-42475) in FortiOS SSL-VPN was exploited by hackers as a zero-day to attack governments and large organizations before #Fortinet fixed it.  Details:  
16,Researchers have uncovered details of a vulnerability in Google #Chrome and Chromium-based browsers that could have potentially enabled hackers to steal sensitive information.  Read:  
17,Beware of #IcedID malware - it's using attack techniques borrowed from other hackers to quickly compromise Active Directory domains.  Read:  
18,#Twitter denies reports of a #databreach of 200 million users and says there is no evidence that the user data sold online was obtained by exploiting vulnerabilities in its systems.  Read:  
19,Security researchers have uncovered multiple vulnerabilities in Siemens SIMATIC and SIPLUS S7-1500 PLCs. Attackers could exploit these flaws to stealthily install firmware and take control of the devices.  Read:  
20,#Linux sysadmins, beware!  Hackers are exploiting a critical RCE #vulnerability in Control Web Panel (CWP) to gain elevated privileges on web servers.  Read:  
21,Ignoring vulnerabilities is a recipe for disaster. A new report from @orangecyberdef has revealed that companies are taking an average of 215 days to fix a reported vulnerability.  Read details:  
22,A new analysis reveals that Raspberry Robin's attack infrastructure can be repurposed by other threat actors for their own malicious activities, making it an even greater threat to watch out for.  Read:  
23,Researchers have uncovered details of a vulnerability in Google #Chrome and Chromium-based browsers that could have potentially enabled hackers to steal sensitive information.  Read:  
24,#Twitter denies reports of a #databreach of 200 million users and says there is no evidence that the user data sold online was obtained by exploiting vulnerabilities in its systems.  Read:  
25,#Linux sysadmins, beware!  Hackers are exploiting a critical RCE #vulnerability in Control Web Panel (CWP) to gain elevated privileges on web servers.  Read:  
26,A new analysis reveals that Raspberry Robin's attack infrastructure can be repurposed by other threat actors for their own malicious activities, making it an even greater threat to watch out for.  Read:  
27,A new wave of Gootkit #malware loader attacks has targeted the Australian #healthcare sector by leveraging legitimate tools like VLC Media Player.  Read:  
28,Researchers have uncovered details of an ongoing hacking campaign by the APT hacker group Dark Pink, targeting military and government organizations in the APAC region.  Read:  
29,🔥 Attention, It's Patch Tuesday!  Make sure to update your systems and software ASAP with the latest security patches from:  ✅ #Microsoft ✅ Adobe ✅ #Google ✅ Intel ✅ HP ✅ #Linux: Debian, Ubuntu,... ✅ SAP ... and more.  Read details:  
30,StrongPity APT group targeting #Android users with a Trojanized #Telegram app distributed through a fake video chat service website.  Read:  
31,Get lifetime access to 9 online #cybersecurity and #hacking training courses for only $49.99 with the 2023 Certified Technology Professional Bundle!   
32,A new analysis of popular encrypted messaging app #Threema reveals potential weaknesses in its cryptographic protocols, leaving users' private keys vulnerable.   
33,Researchers have uncovered details of an ongoing hacking campaign by the APT hacker group Dark Pink, targeting military and government organizations in the APAC region.  Read:  
34,Stay vigilant - a new #phishing campaign targeting #Italy has been observed, deploying an information stealer on compromised #Windows systems.  Read:  
35,🔥 Attention, It's Patch Tuesday!  Make sure to update your systems and software ASAP with the latest security patches from:  ✅ #Microsoft ✅ Adobe ✅ #Google ✅ Intel ✅ HP ✅ #Linux: Debian, Ubuntu,... ✅ SAP ... and more.  Read details:  
36,StrongPity APT group targeting #Android users with a Trojanized #Telegram app distributed through a fake video chat service website.  Read:  
37,🔥 Attention all #opensource developers: If you're using jsonwebtoken library in your projects, you need to take urgent action.  A high-severity security flaw [ CVE-2022-23529] has been discovered, leading to RCE attacks:  
38,A new analysis of popular encrypted messaging app #Threema reveals potential weaknesses in its cryptographic protocols, leaving users' private keys vulnerable.   
39,Stay vigilant - a new #phishing campaign targeting #Italy has been observed, deploying an information stealer on compromised #Windows systems.  Read:  
40,Alert! Kinsing cryptojacking attacks are targeting #Kubernetes clusters through misconfigured PostgreSQL. Secure your systems before it's too late.  Read:  
41,🔥 Attention all #opensource developers: If you're using jsonwebtoken library in your projects, you need to take urgent action.  A high-severity security flaw [ CVE-2022-23529] has been discovered, leading to RCE attacks:  
42,Academics reveal new Text-to-SQL model attacks that could potentially let attackers break into sensitive databases or launch DoS attacks.  Read deatils:  
43,Researchers have uncovered API vulnerabilities in 16 major car brands, putting millions of vehicles at risk of cyberattacks.   
44,Cybercriminals love it when you have multiple users with wide API permissions. Make it harder for them to breach your #SaaS app by keeping user permissions tight.  Read:  
45,Alert! Kinsing cryptojacking attacks are targeting #Kubernetes clusters through misconfigured PostgreSQL. Secure your systems before it's too late.  Read:  
46,Top SaaS Cybersecurity Threats in 2023: Are You Ready?  Read:  
47,Academics reveal new Text-to-SQL model attacks that could potentially let attackers break into sensitive databases or launch DoS attacks.  Read details:  
48,Heads up! By distributing malicious extensions through Visual Studio Marketplace, hackers can easily launch supply chain attacks against software developers.  Read:  
49,Researchers have uncovered API vulnerabilities in 16 major car brands, putting millions of vehicles at risk of cyberattacks.   
50,Stay alert, developers!  6 new malicious #Python packages distributed via PyPI deploying info stealers and use #Cloudflare tunnels to sneak through firewalls.  Read:  
51,Russian #cyberespionage group Turla has been using decade-old ANDROMEDA malware's attack infrastructure to deliver its own custom reconnaissance and backdoor (KOPILUWAK and QUIETCANARY) tools to Ukraine.  Read details:  
52,Heads up! By distributing malicious extensions through Visual Studio Marketplace, hackers can easily launch supply chain attacks against software developers.  Read:  
53,Russian #cyberespionage group Turla has been using decade-old ANDROMEDA malware's attack infrastructure to deliver its own custom reconnaissance and backdoor (KOPILUWAK and QUIETCANARY) tools to Ukraine.  Read details:  
54,Hurry and grab this amazing deal before it's gone!  This A to Z Cyber Security &amp; IT Certification Training Bundle will give you the skills and knowledge you need to succeed in the tech world.  Get it here:  
55,Alert: South African threat group Automated Libra using CAPTCHA bypass techniques to create #GitHub accounts as part of freejacking campaign called PURPLEURCHIN.  Read:  
56,#Ransomware is a serious threat, and it's not just limited to Windows users.  #Microsoft has revealed the tactics used by KeRanger, FileCoder, MacRansom, and EvilQuest, all targeting #macOS systems.  Read details:  
57,Notorious banking #malware Dridex has reportedly adapted to attack #Apple's #macOS operating system with a new, previously unseen infection method.  Read:  
58,Alert: South African threat group Automated Libra using CAPTCHA bypass techniques to create #GitHub accounts as part of freejacking campaign called PURPLEURCHIN.  Read:  
59,#WhatsApp has announced support for proxy servers on #Android and #iOS, allowing users to bypass censorship and Internet shutdowns.  Read:  
60,Rackspace confirmed that the Play #ransomware gang was responsible for last month's breach. The attack used a zero-day exploit related to CVE-2022-41080 to gain initial access to the company's email environment.  Read:  
61,#Ransomware is a serious threat, and it's not just limited to Windows users.  #Microsoft has revealed the tactics used by KeRanger, FileCoder, MacRansom, and EvilQuest, all targeting #macOS systems.  Read details:  
62,Notorious banking #malware Dridex has reportedly adapted to attack #Apple's #macOS operating system with a new, previously unseen infection method.  Read:  
63,Rackspace confirmed that the Play #ransomware gang was responsible for last month's breach. The attack used a zero-day exploit related to CVE-2022-41080 to gain initial access to the company's email environment.  Read:  
64,Stay connected no matter what!  #WhatsApp has announced support for proxy servers on #Android and #iOS, allowing users to bypass censorship and Internet shutdowns.  Read:  
65,Two high severity vulnerabilities have been discovered in Rocket TRUfusion Enterprise: an authentication bypass issue (CVE-2022-25026) and server-side request forgery (CVE-2022-25027).   
66,Alert: Financially motivated threat actor Blind Eagle has resurfaced with new tools and infection chain targeting organizations in Colombia and Ecuador.   Read:  
67,A new feature-rich version of SpyNote #Android spyware has been detected targeting financial institutions, including HSBC UK, Deutsche Bank, Kotak Mahindra Bank and Nubank.  Read:  
68,Alert: Bluebottle #cybercrime group linked to targeted attacks on financial sector in French-speaking African countries.  Read:  
69,Attention CircleCI customers!  #DevOps platform CircleCI is asking its customers to rotate their secrets as a precautionary measure following a new security incident.  Read:  
70,Don't let Vidar #malware take control of your device.   This sneaky stealer now uses throwaway accounts on social media platforms to retrieve the address of its C2 servers and steal information from compromised hosts.  Details:  
71,Alert: Financially motivated threat actor Blind Eagle has resurfaced with new tools and infection chain targeting organizations in Colombia and Ecuador.   Read:  
72,#Fortinet has identified a high-severity flaw in multiple versions of FortiADC.  #Zoho also warns of an SQLi #vulnerability affecting Access Manager Plus, PAM360 and Password Manager Pro.  Read details:  
73,Alert: Bluebottle #cybercrime group linked to targeted attacks on financial sector in French-speaking African countries.  Read:  
74,LastPass's recent breach is a significant concern for security stakeholders.  Browser Security solution LayerX offering a free tool to help security teams gain visibility and mitigate potential impacts of the breach.  Read:  
75,A new feature-rich version of SpyNote #Android spyware has been detected targeting financial institutions, including HSBC UK, Deutsche Bank, Kotak Mahindra Bank and Nubank.  Read:  
76,Attention CircleCI customers!  #DevOps platform CircleCI is asking its customers to rotate their secrets as a precautionary measure following a new security incident.  Read:  
77,Don't let Vidar #malware take control of your device.   This sneaky stealer now uses throwaway accounts on social media platforms to retrieve the address of its C2 servers and steal information from compromised hosts.  Details:  
78,#Fortinet has identified a high-severity flaw in multiple versions of FortiADC.  #Zoho also warns of an SQLi #vulnerability affecting Access Manager Plus, PAM360 and Password Manager Pro.  Read details:  
79,Irish regulators have fined Meta a hefty $414 million for violating data protection laws by forcing #Facebook and #Instagram users to accept targeted ads.  Read:  
80,Don't let #ransomware attackers have their way! Security hygiene is key to protecting yourself from future attacks.   Check out this interesting article on the FBI's perspective on ransomware:  
81,Attention #Linux users! There is a new #malware that has been created using the Shell Script Compiler (shc) and it is deploying a #cryptocurrency miner on infected systems.  Read:  
82,New security patches have been released to fix vulnerabilities in #Qualcomm chipsets and #Lenovo BIOS that could allow for information disclosure and memory corruption.  Read:  
83,Attention #Linux users! There is a new #malware that has been created using the Shell Script Compiler (shc) and it is deploying a #cryptocurrency miner on infected systems.  Read:  
84,Synology has released security updates to address a critical RCE #vulnerability (CVE-2022-43931) impacting VPN Plus Server that could be exploited to take over affected systems.  Read:  
85,Explore the differences between enforcement-based and enrollment-based security strategies and how to find the right balance between ensuring #cybersecurity and building employee trust.   Read:  
86,Attention: A new #malware campaign has been detected using sensitive information stolen from a bank to trick people into downloading a remote access trojan called BitRAT.  Read:  
87,Attention: A new #malware campaign has been detected using sensitive information stolen from a bank to trick people into downloading a remote access trojan called BitRAT.  Read:  
88,Raspberry Robin worm is targeting financial and insurance sectors in Europe, and has evolved its post-exploitation capabilities to resist analysis and collect more data from infected computers.  Read:  
89,Chinese international students in the U.K. have been facing persistent scams for over a year by Chinese-speaking fraudsters belonging to a group called RedZei (also known as RedThief).  Read:  
90,PyTorch, a machine learning framework project, fell victim to a supply chain attack between Dec. 25 and Dec.30, 2022, involving a malicious dependency that affected users who downloaded the affected versions.  Read:  
91,Chinese international students in the U.K. have been facing persistent scams for over a year by Chinese-speaking fraudsters belonging to a group called RedZei (also known as RedThief).  Read:  
92,PyTorch, a machine learning framework project, fell victim to a supply chain attack between Dec. 25 and Dec.30, 2022, involving a malicious dependency that affected users who downloaded the affected versions.  Read:  
93,A new strain of #Linux malware is targeting #WordPress sites, taking advantage of vulnerabilities in various plugins and themes to infiltrate and compromise vulnerable systems.  Read:  
94,A new strain of #Linux malware is targeting #WordPress sites, taking advantage of vulnerabilities in various plugins and themes to infiltrate and compromise vulnerable systems.  Read:  
95,#Google has agreed to pay $29.5 million to settle lawsuits brought by Indiana and Washington, D.C. over its deceptive location tracking practices.  Read:  
96,A security researcher has received a $107,500 bounty for discovering vulnerabilities in #Google Home smart speakers that could have allowed hackers to install backdoors and use them to eavesdrop.  Read:  
97,A security researcher has received a $107,500 bounty for discovering vulnerabilities in #Google Home smart speakers that could have allowed hackers to install backdoors and use them to eavesdrop.  Read:  
98,CISA has added two-year-old vulnerabilities in TIBCO Software's JasperReports product to its KEV catalog after discovering evidence of active exploitation by cybercriminals.  Read:  
99,Thousands of Citrix ADC and Gateway endpoints have not yet been patched for two critical vulnerabilities (CVE-2022-27510 and CVE-2022-27518), leaving several organisations vulnerable to potential cyberattacks.   
100,A new #malvertising campaign has been discovered that targets people searching for popular #software. This campaign uses #Google Ads to spread Trojanized variants that deploy #malware, including Raccoon Stealer and Vidar.  Read:  
101,Thousands of Citrix ADC and Gateway endpoints have not yet been patched for two critical vulnerabilities (CVE-2022-27510 and CVE-2022-27518), leaving several organisations vulnerable to potential cyberattacks.   
102,A new #malvertising campaign has been discovered that targets people searching for popular #software. This campaign uses #Google Ads to spread Trojanized variants that deploy #malware, including Raccoon Stealer and Vidar.  Read:  
103,BitKeep, a decentralized multi-chain #cryptocurrency wallet, has confirmed a #cyberattack that led to the distribution of fraudulent versions of its #Android app, resulting in the theft of an estimated $9.9 million worth of digital assets.   
104,Hackers are turning to malicious Excel add-in (.XLL) files as their initial attack vector, in response to #Microsoft's decision to block VBA macros by default for Office files downloaded from the Internet .   
105,BitKeep, a decentralized multi-chain #cryptocurrency wallet, has confirmed a #cyberattack that led to the distribution of fraudulent versions of its #Android app, resulting in the theft of an estimated $9.9 million worth of digital assets.   
106,Alert! BlueNoroff APT hackers are using new techniques to bypass Windows' Mark of the Web protections, including the use of .ISO and .VHD file formats.  Read:  
107,Hackers are turning to malicious Excel add-in (.XLL) files as their initial attack vector, in response to #Microsoft's decision to block VBA macros by default for Office files downloaded from the Internet .   
108,Alert! BlueNoroff APT hackers are using new techniques to bypass Windows' Mark of the Web protections, including the use of .ISO and .VHD file formats.  Read:  
109,#Facebook has reached a settlement of$725 million in a lawsuit over the Cambridge Analytica data leak.  Read:  
110,GuLoader #malware has upped its game, using advanced tactics to bypass security #software.   Researchers have uncovered a 3-stage process where VBScript delivers shellcode within itself while performing anti-analysis checks.  Read:  
111,#Facebook has reached a settlement of$725 million in a lawsuit over the Cambridge Analytica data leak.  Read:  
112,Alert! PrivateLoader, a pay-per-install #malware downloader service, is being used to distribute the information-stealing malware known as RisePro.  Read:  
113,In 2022, state-sponsored hacks and #ransomware attacks surged, particularly from countries with tense geopolitical relations.  These threats pose a risk to global systems and the security of individuals and businesses globally.  Read:  
114,GuLoader #malware has upped its game, using advanced tactics to bypass security #software.   Researchers have uncovered a 3-stage process where VBScript delivers shellcode within itself while performing anti-analysis checks.  Read:  
115,Alert! PrivateLoader, a pay-per-install #malware downloader service, is being used to distribute the information-stealing malware known as RisePro.  Read:  
116,Cybercriminals are distributing info-stealing #malware to developers through #Python Package Index (PyPI). These malware variants, such as ANGEL and Celestial Stealer, are based on W4SP Stealer.  Read:  
117,Cybercriminals are distributing info-stealing #malware to developers through #Python Package Index (PyPI). These malware variants, such as ANGEL and Celestial Stealer, are based on W4SP Stealer.  Read:  
118,FrodoPIR — A new #privacy-focused system that allows clients to securely query a database without revealing query information to an untrusted server, making it useful for a range of apps, including safe browsing, breached password checks, and more.   
119,Researchers have uncovered a new #phishing campaign targeting the Kavach two-factor authentication solution used by #Indian government officials.  Read details:  
120,Vice Society #ransomware group has switched to a new custom payload called 'PolyVice that uses robust #encryption with NTRUEncrypt and ChaCha20-Poly1305.  Read:  
121,French #privacy watchdog fines #Microsoft Ireland €60 million for placing advertising cookies on users' computers without explicit consent.  Read:  
122,Conti source code leak earlier this year has led to the emergence of multiple #ransomware strains, including Putin Team, ScareCrow, BlueSky, and Meow.  Read:  
123,Also, @Google is open-sourcing Magritte, a machine learning tool for blurring objects in videos, and improving its Fully Homomorphic #Encryption Transpiler as part of its efforts to democratize access to #privacy-enhancing technologies.  Read:  
124,FrodoPIR — A new #privacy-focused system that allows clients to securely query a database without revealing query information to an untrusted server, making it useful for a range of apps, including safe browsing, breached password checks, and more.   
125,Don't get fooled by holiday hackers!  Follow these 6 steps to ensure your company's incident response plan is solid and protect your data from e-commerce scams and phishing attacks.  Read:  
126,Researchers have uncovered a new #phishing campaign targeting the Kavach two-factor authentication solution used by #Indian government officials.  Read details:  
127,Vice Society #ransomware group has switched to a new custom payload called 'PolyVice that uses robust #encryption with NTRUEncrypt and ChaCha20-Poly1305.  Read:  
128,French #privacy watchdog fines #Microsoft Ireland €60 million for placing advertising cookies on users' computers without explicit consent.  Read:  
129,⚡ A new detailed analysis of FIN7 #cybercrime syndicate has revealed its organizational hierarchy and role as a partner in various #ransomware attacks, including DarkSide, REvil, and LockBit.  Read details:  
130,The August 2022 security breach at popular #password management service #LastPass was worse than originally reported, with hackers obtained a trove of personal data, including encrypted password vaults.  Read:  
131,Researchers have identified two security vulnerabilities in the Ghost #blogging platform, one of which allows hackers to gain higher privileges by sending malicious 
132,⚡ A new detailed analysis of FIN7 #cybercrime syndicate has revealed its organizational hierarchy and role as a partner in various #ransomware attacks, including DarkSide, REvil, and LockBit.  Read details:  
133,Don't go it alone in the fight against #cybercrime!  Cyber threat intelligence is crucial, but even better when shared with others in the industry.  Learn how to do so here:  
134,Several severe security vulnerabilities have been discovered in the Passwordstate #password management system that could allow unauthorized hackers to access users' passwords in plain text.  Read:  
135,Researchers have identified two security vulnerabilities in the Ghost #blogging platform, one of which allows hackers to gain higher privileges by sending malicious 
136,#Microsoft has issued a warning about the Zerobot Go-based botnet #malware, which is constantly evolving and has recently gained some new exploits and capabilities to attack #IoT devices and web applications.  Read:  
137,Raspberry Robin worm has been attacking telecommunications and government systems across Latin America, Australia, and Europe.  Read:  
138,Okta, a renowned provider of identity and access management solutions, recently discovered that some of its source code repositories on #GitHub had been compromised earlier in the month.  Read:  
139,Researchers warn against the GodFather #Android banking trojan that's targeting users of over 400 banking and #cryptocurrency apps in 16 countries.  Read:  
140,#Ransomware attackers are using a new exploit called OWASSRF to bypass #Microsoft's security measures for the Exchange #ProxyNotShell remote code execution #vulnerability.  Read:  
141,Stay ahead of the game with a new webinar on The Rise of the Rookie Hacker - a new trend to reckon with, where experts will dive into key #cybersecurity trends we've noticed in 2022 that will likely continue in 2023.  Read:  
142,CERT-UA warns of a cyber attack targeting users of the DELTA military system via a compromised email account at the Ministry of Defense, infecting them with information stealing #malware.  Read:  
